default_setting_uuid;app_uuid;default_setting_category;default_setting_subcategory;default_setting_name;default_setting_value;default_setting_order;default_setting_enabled;default_setting_description
8ebeb864-f03e-406c-b82f-6eb47cb1bd39;95788e50-9500-079e-2807-fd530b0ea370;limit;call_center_queues;numeric;3;;false;""
b32179ad-96a4-4d83-8677-1fd8fc5ef6df;95788e50-9500-079e-2807-fd530b0ea370;call_center;agent_add_rows;numeric;5;;true;""
533eac69-887f-47aa-bf27-0751797555f5;95788e50-9500-079e-2807-fd530b0ea370;call_center;agent_edit_rows;numeric;1;;true;""
4fedc226-caca-4ebf-b4eb-31de93e5bed3;19806921-e8ed-dcff-b325-dd3e5da4959d;follow_me;max_destinations;numeric;5;;false;Set the maximum number of Follow Me Destinations.
ce105d64-2d1b-4d19-ae34-ccb818cc9c6e;19806921-e8ed-dcff-b325-dd3e5da4959d;follow_me;timeout;numeric;30;;false;Set the default Follow Me Timeout value.
70d8538a-89ab-4db6-87b1-f5e447680283;5ec89622-b19c-3559-64f0-afde802ab139;limit;destinations;numeric;3;;false;""
911412de-e0a6-49db-a3c8-65f05c9d847f;5ec89622-b19c-3559-64f0-afde802ab139;destinations;dialplan_details;boolean;true;;true;""
e05a4745-ea59-47a7-8e7f-5db7d2a5c273;4efa1a1a-32e7-bf83-534b-6c8299958a8e;limit;devices;numeric;3;;false;""
8701cdca-64a1-4ff4-85a1-a09b1389ce92;17e628ee-ccfa-49c0-29ca-9894a0384b9b;editor;indent_guides;boolean;false;;false;Set the default visibility of indent guides for Editor.
5669f8cf-f0a0-4d9c-ad75-caf239e9f5cd;17e628ee-ccfa-49c0-29ca-9894a0384b9b;editor;invisibles;boolean;false;;false;Set the default state of invisible characters for Editor.
7122cb30-d557-4001-af94-d8d21f964a63;17e628ee-ccfa-49c0-29ca-9894a0384b9b;editor;line_numbers;boolean;false;;false;Set the default visibility of line numbers for Editor.
7b403afd-e4d6-4e96-8c8f-2cf5d6187191;17e628ee-ccfa-49c0-29ca-9894a0384b9b;editor;theme;text;Cobalt;;false;Set the default theme.
db3290e5-d3fb-4bcd-b2a8-a0061aa02532;e68d9689-2769-e013-28fa-6214bf47fca3;domain;dial_string;text;"{sip_invite_domain=${domain_name},leg_timeout=${call_timeout},presence_id=${dialed_user}@${dialed_domain}}${sofia_contact(*/${dialed_user}@${dialed_domain})}";;false;""
3eeb3757-f7bb-437a-9021-8ccf3f27c98b;e68d9689-2769-e013-28fa-6214bf47fca3;limit;extensions;numeric;3;;false;""
bc2fe268-a8a8-4a92-8096-86ab3c55a644;c4e85f9c-f7df-47b4-921e-de0ff356eee4;provision;fanvil_time_zone;text;-20;;true;Time zone ranges
6de1ba1c-605c-457e-bff6-140d5f7fdc5f;c4e85f9c-f7df-47b4-921e-de0ff356eee4;provision;fanvil_time_zone_name;text;UTC-5;;true;Time zone name example United States-Eastern Time
54280025-2cc0-429a-b2f4-5e8e2426ed33;c4e85f9c-f7df-47b4-921e-de0ff356eee4;provision;fanvil_location;numeric;4;;true;Used with time zone and time zone name
abe840e9-534c-4dc5-8533-464d1cb02557;c4e85f9c-f7df-47b4-921e-de0ff356eee4;provision;fanvil_realm;text;enter a value;;false;enter a value
9d7a9b40-a01c-4687-aa25-74d92350628a;c4e85f9c-f7df-47b4-921e-de0ff356eee4;provision;fanvil_greeting;text;FusionPBX;;true;Name at top left of screen 0~12 characters
1c160cbf-6e6c-496f-8b3f-b066decc3b1e;c4e85f9c-f7df-47b4-921e-de0ff356eee4;provision;fanvil_date_display;numeric;3;;true;value 0-13 Date Format
d2eab7fd-0d20-4e71-ab91-7554243c9807;c4e85f9c-f7df-47b4-921e-de0ff356eee4;provision;fanvil_time_display;numeric;1;;true;1=12hr 0=24hr
